row_index,complexity,domain,exact_match,semantic_match,core_logic_match,reasons
0,easy,appliance_repair_service,True,True,True,
1,easy,appliance_repair_service,True,True,True,
2,easy,appliance_repair_service,False,False,True,"return columns missing from prediction: {('bare', 'node')}"
3,easy,appliance_repair_service,False,True,True,
4,easy,appliance_repair_service,False,True,True,
5,easy,appliance_repair_service,False,False,True,"return columns missing from prediction: {('prop', 'work_type')}"
6,complex,appliance_repair_service,False,True,True,
7,easy,appliance_repair_service,False,True,True,
8,complex,appliance_repair_service,False,True,True,
9,easy,automotive_dealership_service,False,True,True,
10,easy,automotive_dealership_service,True,True,True,
11,easy,automotive_dealership_service,False,True,True,
12,easy,automotive_dealership_service,False,True,True,
13,easy,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'order_total')}"
14,complex,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'part_number')}"
15,easy,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('agg', 'count:*')}"
16,easy,automotive_dealership_service,False,True,True,
17,medium,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'reorder_threshold'), ('prop', 'quantity_on_hand'), ('prop', 'name')}"
18,easy,automotive_dealership_service,True,True,True,
19,easy,automotive_dealership_service,False,True,True,
20,easy,automotive_dealership_service,False,True,True,
21,easy,automotive_dealership_service,False,True,True,
22,easy,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'recommended_action'), ('prop', 'id')}"
23,complex,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'model')}"
24,easy,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'model')}"
25,medium,automotive_dealership_service,False,False,False,"labels differ: gold=['AppraisalReport', 'AuctionListing', 'Vehicle'] pred=['AppraisalReport', 'AuctionListing', 'TradeInOffer', 'Vehicle']; rel_types differ: gold=['ASSESSES', 'LISTED_IN'] pred=['ASSESSES', 'BASED_ON', 'FOR_VEHICLE', 'LISTED_IN']; hop_count differs: gold=2 pred=4; return columns missing from prediction: {('prop', 'auction_house')}"
26,easy,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('expr', '(ar.estimated_value-tio.offer_amount)')}"
27,complex,appliance_repair_service,False,True,True,
28,complex,appliance_repair_service,False,True,True,
29,complex,appliance_repair_service,False,True,True,
30,complex,appliance_repair_service,False,False,True,"return columns missing from prediction: {('prop', 'contract_tier')}"
31,easy,appliance_repair_service,False,True,True,
32,medium,appliance_repair_service,False,True,True,
33,complex,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('agg', 'sum:order_total'), ('agg', 'count:*')}"
34,complex,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'region')}"
35,complex,automotive_dealership_service,False,False,False,"rel_types differ: gold=['OPERATES'] pred=['OPERATES', 'STOCKS']; where_conditions differ: missing=set() extra={('reorder_threshold', '>', '0')}"
36,complex,automotive_dealership_service,False,False,False,"rel_types differ: gold=['RESTOCKS'] pred=['RESTOCKS', 'STOCKS']; aggregations differ: gold=['count'] pred=[]; where_conditions differ: missing=set() extra={('reorder_threshold', '>', '0'), ('order_status', '=', 'pending')}; return columns missing from prediction: {('prop', 'name')}"
37,medium,automotive_dealership_service,False,False,False,"rel_types differ: gold=['RESTOCKS', 'SUPPLIES'] pred=['ORDERED_FROM', 'SUPPLIES']; aggregations differ: gold=['avg', 'collect', 'count'] pred=['avg', 'count']; return columns missing from prediction: {('agg', 'avg:unit_cost')}"
38,easy,automotive_dealership_service,True,True,True,
39,complex,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('agg', 'avg:estimated_value')}"
40,complex,automotive_dealership_service,False,False,True,"return columns missing from prediction: {('prop', 'city')}"
41,complex,automotive_dealership_service,False,True,True,
42,complex,automotive_dealership_service,False,True,True,
43,medium,automotive_dealership_service,False,True,True,
44,easy,automotive_dealership_service,True,True,True,
45,complex,coworking_space_management,False,True,True,
46,complex,coworking_space_management,False,False,True,"return columns missing from prediction: {('prop', 'name')}"
47,complex,coworking_space_management,False,True,True,
48,complex,coworking_space_management,False,False,False,"where_conditions differ: missing={('priority', '=', 'urgent'), ('priority', '=', 'high')} extra={('priority', 'in', ""['high', 'urgent']"")}"
49,easy,coworking_space_management,True,True,True,
50,medium,coworking_space_management,False,True,True,
51,complex,dental_practice_management,False,True,True,
52,complex,dental_practice_management,False,False,False,"rel_types differ: gold=['ASSIGNED_TO', 'LED_TO', 'PERFORMED', 'REFERRED'] pred=['ASSIGNED_TO', 'PERFORMED', 'REFERRED']; hop_count differs: gold=4 pred=3"
53,complex,dental_practice_management,False,True,True,
54,complex,dental_practice_management,False,False,True,"return columns missing from prediction: {('prop', 'tooth_number'), ('prop', 'chief_complaint')}"
55,easy,dental_practice_management,True,True,True,
56,medium,dental_practice_management,False,True,True,
57,easy,ecommerce_order_fulfillment,False,True,True,
58,easy,ecommerce_order_fulfillment,False,True,True,
59,complex,ecommerce_order_fulfillment,False,False,True,"return columns missing from prediction: {('prop', 'name')}"
60,complex,ecommerce_order_fulfillment,False,False,False,"labels differ: gold=['Contract', 'Item', 'POLine'] pred=['Contract', 'Item', 'POLine', 'PurchaseOrder']; rel_types differ: gold=['COVERS_ITEM', 'FOR_ITEM'] pred=['COVERS_ITEM', 'FOR_ITEM', 'HAS_LINE']; hop_count differs: gold=2 pred=3"
61,complex,ecommerce_order_fulfillment,False,False,False,aggregations differ: gold=['count'] pred=[]
62,complex,ecommerce_order_fulfillment,False,True,True,
